,,,,,,,,,,
,Report of all payments made by GLA & GLA Land & Property for value equal to or greater than £ 250.00 Excl. VAT,,,,,,,,,
,Reporting Period : ,1,,,,,,,,
,Start Date:,"1st April, 2013",,,,,,,,
,End Date:,"27th April, 2013",,,,,,,,
,Financial Year :,2012 / 13,,,,,,,,
,,,,,,,,,,
,Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,,,
,15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107789349,"12,700,000.00",02 Apr  2013,,,
,15500097,LONDON BOROUGH OF CAMDEN,544075,Grants to External Organisations,5107841602,"12,500,000.00",22 Apr  2013,,,
,10022138,HARINGEY COUNCIL,544075,Grants to External Organisations,5107841553,"9,787,182.00",12 Apr  2013,,,
,10006080,LONDON BOROUGH OF HAVERING,544075,Grants to External Organisations,5107844319,"6,895,149.00",10 Apr  2013,,,
,18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900017728,"4,825,000.00",05 Apr  2013,,,
,15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5107849492,"4,536,577.00",18 Apr  2013,,,
,18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900017672,"4,523,837.00",05 Apr  2013,,,
,18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900017812,"4,053,595.00",05 Apr  2013,,,
,18000049,THE GUINNESS TRUST,544076,HSG Grants to Registered Providers,1900017739,"3,997,854.00",05 Apr  2013,,,
,18000009,PEABODY TRUST,544076,HSG Grants to Registered Providers,1900017759,"3,880,412.00",05 Apr  2013,,,
,18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900017881,"3,640,000.00",08 Apr  2013,,,
,18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900017808,"3,572,500.00",05 Apr  2013,,,
,18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900017871,"3,260,000.00",08 Apr  2013,,,
,18000078,BERKELEY PARTNERSHIP HOMES LIMITED,544078,HSG Grants to Non-Registered Providers,1900017683,"3,174,765.00",05 Apr  2013,,,
,18000016,MOAT HOUSING SOCIETY LIMITED,544076,HSG Grants to Registered Providers,1900017856,"3,060,000.00",08 Apr  2013,,,
,15500142,LONDON BOROUGH OF SUTTON,544075,Grants to External Organisations,5107830259,"2,941,489.00",02 Apr  2013,,,
,18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900017664,"2,825,000.00",05 Apr  2013,,,
,18000119,CATALYST COMMUNITIES HOUSING,544076,HSG Grants to Registered Providers,1900017834,"2,795,298.00",05 Apr  2013,,,
,18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900017647,"2,602,077.00",05 Apr  2013,,,
,18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900017722,"2,441,132.00",05 Apr  2013,,,
,10020169,LONDON BOROUGH OF NEWHAM,544075,Grants to External Organisations,5107849079,"2,221,567.00",17 Apr  2013,,,
